day_of_week,count,mean,median
0,1269,117.41396997635934,64.8
1,1311,107.29991075514873,58.5
2,1315,107.66947300380227,57.8
3,1348,105.39438501483679,58.05
4,1341,112.40595824011932,56.6
5,1347,115.11544172234595,63.8
6,1341,112.8258538404176,57.8
