rank,model,r2,training_time_seconds
1,RandomForestRegressor,0.8057822615652422,5.278594800009159
2,XGBRegressor,0.7934528624382791,1.414958800014574
3,GradientBoostingRegressor,0.7890131170597126,12.337135800014948
4,LinearRegression,0.7823514985467794,0.2742984000069555
