rank,model,rmse,training_time_seconds
1,RandomForestRegressor,9.561036826950165,5.278594800009159
2,XGBRegressor,9.859846072821693,1.414958800014574
3,GradientBoostingRegressor,9.965251704493456,12.337135800014948
4,LinearRegression,10.121348651467697,0.2742984000069555
