overall_rank,model,mae,rmse,r2,training_time_seconds,mae_rank,rmse_rank,r2_rank,accuracy_rank_sum
1,RandomForestRegressor,6.038210566754232,9.561036826950165,0.8057822615652422,5.278594800009159,1,1,1,3
2,XGBRegressor,6.350198333180153,9.859846072821693,0.7934528624382791,1.414958800014574,2,2,2,6
3,GradientBoostingRegressor,6.4053589859223905,9.965251704493456,0.7890131170597126,12.337135800014948,4,3,3,10
4,LinearRegression,6.354672910107296,10.121348651467697,0.7823514985467794,0.2742984000069555,3,4,4,11
