rank,model,mae,training_time_seconds
1,RandomForestRegressor,6.038210566754232,5.278594800009159
2,XGBRegressor,6.350198333180153,1.414958800014574
3,LinearRegression,6.354672910107296,0.2742984000069555
4,GradientBoostingRegressor,6.4053589859223905,12.337135800014948
